target,distractor,set,ans1,ans2,total_experiment.thisRepN,total_experiment.thisTrialN,total_experiment.thisN,total_experiment.thisIndex,boat.thisRepN,boat.thisTrialN,boat.thisN,boat.thisIndex,fl_rep_loop2.thisRepN,fl_rep_loop2.thisTrialN,fl_rep_loop2.thisN,fl_rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,flanker_rest.thisRepN,flanker_rest.thisTrialN,flanker_rest.thisN,flanker_rest.thisIndex,para.thisRepN,para.thisTrialN,para.thisN,para.thisIndex,para_rep_loop.thisRepN,para_rep_loop.thisTrialN,para_rep_loop.thisN,para_rep_loop.thisIndex,para_prac_loop.thisRepN,para_prac_loop.thisTrialN,para_prac_loop.thisN,para_prac_loop.thisIndex,para_main_loop.thisRepN,para_main_loop.thisTrialN,para_main_loop.thisN,para_main_loop.thisIndex,para_rest.thisRepN,para_rest.thisTrialN,para_rest.thisN,para_rest.thisIndex,fl_starter_back.started,fl_starter.started,fl_starter_text.started,fl_starter.keys,fl_starter.rt,fl_inst_resp.keys,fl_inst_resp.rt,fl_back.started,fl_mouse_prac.started,fl_mouse_prac.x,fl_mouse_prac.y,fl_mouse_prac.leftButton,fl_mouse_prac.midButton,fl_mouse_prac.rightButton,back_2.started,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_fix.started,j_button.started,k_button.started,l_button.started,targ.started,fl_fix.stopped,fl_ans,fl_res,fl_corr,fl_rt,j_button2.started,k_button2.started,l_button2.started,j_button2.stopped,k_button2.stopped,l_button2.stopped,fl_mainback.started,fl_mouse_m.started,fl_key_resp.keys,fl_key_resp.rt,fl_mouse_m.x,fl_mouse_m.y,fl_mouse_m.leftButton,fl_mouse_m.midButton,fl_mouse_m.rightButton,rest_text.started,rest_key.started,rest_inst_text.started,rest_time.started,rest_key.keys,exp_end_key.started,exp_end_back.started,exp_end_text.started,exp_end_key.keys,para_starter.started,para_starter_key.started,para_starter_key.keys,para_starter_key.rt,para_inst_sound.started,para_inst_key.keys,para_inst_key.rt,para_inst_image.started,para_prac_back.started,para_prac_text.started,para_fix_back.started,para_fix_2.started,para_back.started,st_ans,st_res,st_corr,st_rt,st2_resp.keys,st2_resp.corr,para_main_back.started,para_main_text.started,para_mouse.started,para_mouse.x,para_mouse.y,para_mouse.leftButton,para_mouse.midButton,para_mouse.rightButton,total_end_text.started,id*,date,expName,psychopyVersion,frameRate,
neutral,neutral,2,k,k,0,0,0,0,0,0,0,0,,,,,,,,,3,4,58,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,neutral,323.66300879999994,323.66300879999994,323.66300879999994,323.66300879999994,324.656107,324.68488950000005,k,k,1,0.794764399999849,325.45904459999997,325.45904459999997,325.45904459999997,325.45904459999997,325.45904459999997,325.45904459999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
negative,negative,1,j,l,0,0,0,0,0,0,0,0,,,,,,,,,3,5,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,negative,negative,325.45904459999997,325.45904459999997,325.45904459999997,325.45904459999997,326.43598810000003,326.50197649999996,j,j,1,0.920122499999934,327.39198250000004,327.39198250000004,327.39198250000004,327.39198250000004,327.39198250000004,327.39198250000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
negative,positive,2,j,l,0,0,0,0,0,0,0,0,,,,,,,,,3,6,60,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,negative,327.39198250000004,327.39198250000004,327.39198250000004,327.39198250000004,328.36901379999995,328.42918239999995,j,j,1,0.7898244999998951,329.17718979999995,329.17718979999995,329.17718979999995,329.17718979999995,329.17718979999995,329.17718979999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
positive,positive,2,l,j,0,0,0,0,0,0,0,0,,,,,,,,,3,7,61,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,positive,329.17718979999995,329.17718979999995,329.17718979999995,329.17718979999995,330.1542396,330.22160410000015,l,l,1,0.8383977000000868,331.0222368,331.0222368,331.0222368,331.0222368,331.0222368,331.0222368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
negative,neutral,1,j,l,0,0,0,0,0,0,0,0,,,,,,,,,3,8,62,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,neutral,negative,331.0222368,331.0222368,331.0222368,331.0222368,332.0144705,332.04425949999995,j,j,1,1.0388262999999824,333.06954659999997,333.06954659999997,333.06954659999997,333.06954659999997,333.06954659999997,333.06954659999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
negative,positive,1,j,l,0,0,0,0,0,0,0,0,,,,,,,,,3,9,63,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,negative,333.06954659999997,333.06954659999997,333.06954659999997,333.06954659999997,334.0606970000001,334.0905206,j,j,1,0.7074388000000909,334.77880930000015,334.77880930000015,334.77880930000015,334.77880930000015,334.77880930000015,334.77880930000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
negative,negative,2,j,l,0,0,0,0,0,0,0,0,,,,,,,,,3,10,64,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,negative,negative,334.77880930000015,334.77880930000015,334.77880930000015,334.77880930000015,335.7512941,335.82175630000006,j,j,1,0.6305376999998771,336.40898319999997,336.40898319999997,336.40898319999997,336.40898319999997,336.40898319999997,336.40898319999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
positive,negative,1,l,j,0,0,0,0,0,0,0,0,,,,,,,,,3,11,65,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,negative,positive,336.40898319999997,336.40898319999997,336.40898319999997,336.40898319999997,337.3913443000001,337.4261169000001,l,l,1,0.9472521000000143,338.3589733000001,338.3589733000001,338.3589733000001,338.3589733000001,338.3589733000001,338.3589733000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
positive,positive,1,l,j,0,0,0,0,0,0,0,0,,,,,,,,,3,12,66,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,positive,338.3589733000001,338.3589733000001,338.3589733000001,338.3589733000001,339.33322420000013,339.39347399999997,l,l,1,0.7152968999998848,340.08288140000013,340.08288140000013,340.08288140000013,340.08288140000013,340.08288140000013,340.08288140000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
neutral,neutral,1,k,k,0,0,0,0,0,0,0,0,,,,,,,,,3,13,67,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,neutral,340.08288140000013,340.08288140000013,340.08288140000013,340.08288140000013,341.0575255000001,341.1238622000001,k,k,1,0.7351475999998911,341.81964360000006,341.81964360000006,341.81964360000006,341.81964360000006,341.81964360000006,341.81964360000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
positive,negative,2,l,j,0,0,0,0,0,0,0,0,,,,,,,,,3,14,68,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,negative,positive,341.81964360000006,341.81964360000006,341.81964360000006,341.81964360000006,342.8203231,342.8534542,l,l,1,0.8496600000000853,343.67540210000016,343.67540210000016,343.67540210000016,343.67540210000016,343.67540210000016,343.67540210000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
neutral,positive,1,k,k,0,0,0,0,0,0,0,0,,,,,,,,,3,15,69,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,positive,neutral,343.67540210000016,343.67540210000016,343.67540210000016,343.67540210000016,344.67000340000004,344.70042609999996,k,k,1,0.8490699999999833,345.52653639999994,345.52653639999994,345.52653639999994,345.52653639999994,345.52653639999994,345.52653639999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
positive,neutral,1,l,j,0,0,0,0,0,0,0,0,,,,,,,,,3,16,70,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,positive,345.52653639999994,345.52653639999994,345.52653639999994,345.52653639999994,346.52185310000004,346.5519309000001,l,l,1,0.8862094999999499,347.4123198,347.4123198,347.4123198,347.4123198,347.4123198,347.4123198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
negative,neutral,2,j,l,0,0,0,0,0,0,0,0,,,,,,,,,3,17,71,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,negative,347.4123198,347.4123198,347.4123198,347.4123198,348.3853650000001,348.4505391,j,j,1,0.8847835999999916,349.30792399999996,349.30792399999996,349.30792399999996,349.30792399999996,349.30792399999996,349.30792399999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
positive,neutral,2,l,j,0,0,0,0,0,0,0,0,,,,,,,,,4,0,72,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,neutral,positive,349.30792399999996,349.30792399999996,349.30792399999996,349.30792399999996,350.2950697000001,350.3252933000001,l,l,1,0.8637971999999081,351.1723412000001,351.1723412000001,351.1723412000001,351.1723412000001,351.1723412000001,351.1723412000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
positive,positive,1,l,j,0,0,0,0,0,0,0,0,,,,,,,,,4,1,73,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,positive,positive,351.1723412000001,351.1723412000001,351.1723412000001,351.1723412000001,352.1743193,352.2049690000001,l,l,1,0.8345390999998017,353.01732749999996,353.01732749999996,353.01732749999996,353.01732749999996,353.01732749999996,353.01732749999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
positive,negative,2,l,j,0,0,0,0,0,0,0,0,,,,,,,,,4,2,74,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,positive,353.01732749999996,353.01732749999996,353.01732749999996,353.01732749999996,354.0139455000001,354.0426092,l,l,1,1.0621186000000762,355.07633110000006,355.07633110000006,355.07633110000006,355.07633110000006,355.07633110000006,355.07633110000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
neutral,neutral,2,k,k,0,0,0,0,0,0,0,0,,,,,,,,,4,3,75,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,neutral,neutral,355.07633110000006,355.07633110000006,355.07633110000006,355.07633110000006,356.0723147000001,356.10679200000004,k,k,1,0.8506549999999606,356.9315448,356.9315448,356.9315448,356.9315448,356.9315448,356.9315448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
negative,positive,2,j,l,0,0,0,0,0,0,0,0,,,,,,,,,4,4,76,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,positive,negative,356.9315448,356.9315448,356.9315448,356.9315448,357.90433269999994,357.96561480000014,j,j,1,0.8751925999999912,358.8149307000001,358.8149307000001,358.8149307000001,358.8149307000001,358.8149307000001,358.8149307000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
positive,negative,1,l,j,0,0,0,0,0,0,0,0,,,,,,,,,4,5,77,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,negative,positive,358.8149307000001,358.8149307000001,358.8149307000001,358.8149307000001,359.8098295,359.84387960000004,l,l,1,0.9872411999999713,360.7978035000001,360.7978035000001,360.7978035000001,360.7978035000001,360.7978035000001,360.7978035000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
positive,neutral,1,l,j,0,0,0,0,0,0,0,0,,,,,,,,,4,6,78,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,positive,360.7978035000001,360.7978035000001,360.7978035000001,360.7978035000001,361.7876272000001,361.82266759999993,l,l,1,0.873203999999987,362.67971480000006,362.67971480000006,362.67971480000006,362.67971480000006,362.67971480000006,362.67971480000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
negative,positive,1,j,l,0,0,0,0,0,0,0,0,,,,,,,,,4,7,79,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,negative,362.67971480000006,362.67971480000006,362.67971480000006,362.67971480000006,363.6550661000001,363.71607330000006,j,j,1,0.8556261999999606,364.5369932000001,364.5369932000001,364.5369932000001,364.5369932000001,364.5369932000001,364.5369932000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
neutral,neutral,1,k,k,0,0,0,0,0,0,0,0,,,,,,,,,4,8,80,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,neutral,364.5369932000001,364.5369932000001,364.5369932000001,364.5369932000001,365.51124759999993,365.5732094,k,k,1,0.7305441999999402,366.2696472,366.2696472,366.2696472,366.2696472,366.2696472,366.2696472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
positive,positive,2,l,j,0,0,0,0,0,0,0,0,,,,,,,,,4,9,81,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,positive,366.2696472,366.2696472,366.2696472,366.2696472,367.25648950000004,367.28830570000014,l,l,1,0.7625700999999481,368.0335248000001,368.0335248000001,368.0335248000001,368.0335248000001,368.0335248000001,368.0335248000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
neutral,positive,2,k,k,0,0,0,0,0,0,0,0,,,,,,,,,4,10,82,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,neutral,368.0335248000001,368.0335248000001,368.0335248000001,368.0335248000001,369.02866659999995,369.05784770000014,k,k,1,0.7966424000001098,369.838608,369.838608,369.838608,369.838608,369.838608,369.838608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
negative,neutral,1,j,l,0,0,0,0,0,0,0,0,,,,,,,,,4,11,83,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,neutral,negative,369.838608,369.838608,369.838608,369.838608,370.81354780000015,370.88026000000013,j,j,1,0.7410114000001613,371.58484509999994,371.58484509999994,371.58484509999994,371.58484509999994,371.58484509999994,371.58484509999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
negative,negative,1,j,l,0,0,0,0,0,0,0,0,,,,,,,,,4,12,84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,negative,negative,371.58484509999994,371.58484509999994,371.58484509999994,371.58484509999994,372.5695587,372.6049117,j,j,1,1.1936946999999236,373.7771775000001,373.7771775000001,373.7771775000001,373.7771775000001,373.7771775000001,373.7771775000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
negative,negative,2,j,l,0,0,0,0,0,0,0,0,,,,,,,,,4,13,85,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,negative,negative,373.7771775000001,373.7771775000001,373.7771775000001,373.7771775000001,374.7739068000001,374.80633280000006,j,j,1,0.7910776999999598,375.5728435000001,375.5728435000001,375.5728435000001,375.5728435000001,375.5728435000001,375.5728435000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
neutral,negative,2,k,k,0,0,0,0,0,0,0,0,,,,,,,,,4,14,86,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,negative,neutral,375.5728435000001,375.5728435000001,375.5728435000001,375.5728435000001,376.56222720000005,376.5925864000001,k,k,1,0.8403314999998202,377.4177542,377.4177542,377.4177542,377.4177542,377.4177542,377.4177542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
negative,neutral,2,j,l,0,0,0,0,0,0,0,0,,,,,,,,,4,15,87,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,neutral,negative,377.4177542,377.4177542,377.4177542,377.4177542,378.41213519999997,378.4414743,j,j,1,0.8788773999999648,379.2978925,379.2978925,379.2978925,379.2978925,379.2978925,379.2978925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
neutral,positive,1,k,k,0,0,0,0,0,0,0,0,,,,,,,,,4,16,88,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,neutral,379.2978925,379.2978925,379.2978925,379.2978925,380.29434689999994,380.323838,k,k,1,0.8437851999999566,381.14517649999993,381.14517649999993,381.14517649999993,381.14517649999993,381.14517649999993,381.14517649999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
neutral,negative,1,k,k,0,0,0,0,0,0,0,0,,,,,,,,,4,17,89,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,negative,neutral,381.14517649999993,381.14517649999993,381.14517649999993,381.14517649999993,382.14060140000015,382.17119160000016,k,k,1,0.8952100999999857,383.04150100000015,383.04150100000015,383.04150100000015,383.04150100000015,383.04150100000015,383.04150100000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
negative,negative,2,j,l,0,0,0,0,0,0,0,0,,,,,,,,,5,0,90,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,negative,383.04150100000015,383.04150100000015,383.04150100000015,383.04150100000015,384.0427816000001,384.07908650000013,j,j,1,0.883863399999882,384.9322144,384.9322144,384.9322144,384.9322144,384.9322144,384.9322144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
neutral,neutral,2,k,k,0,0,0,0,0,0,0,0,,,,,,,,,5,1,91,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,neutral,neutral,384.9322144,384.9322144,384.9322144,384.9322144,385.9181651000001,385.9502913000001,k,k,1,1.0685363999998572,387.00136670000006,387.00136670000006,387.00136670000006,387.00136670000006,387.00136670000006,387.00136670000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
positive,negative,2,l,j,0,0,0,0,0,0,0,0,,,,,,,,,5,2,92,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,negative,positive,387.00136670000006,387.00136670000006,387.00136670000006,387.00136670000006,387.99881490000007,388.0298574000001,l,l,1,1.091816000000108,389.1029638,389.1029638,389.1029638,389.1029638,389.1029638,389.1029638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
neutral,negative,1,k,k,0,0,0,0,0,0,0,0,,,,,,,,,5,3,93,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,negative,neutral,389.1029638,389.1029638,389.1029638,389.1029638,390.09122419999994,390.12179620000006,k,k,1,0.8813400000001366,390.98647729999993,390.98647729999993,390.98647729999993,390.98647729999993,390.98647729999993,390.98647729999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
positive,positive,1,l,j,0,0,0,0,0,0,0,0,,,,,,,,,5,4,94,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,positive,positive,390.98647729999993,390.98647729999993,390.98647729999993,390.98647729999993,391.97424249999995,392.00346850000005,l,l,1,0.8360657000000629,392.82607499999995,392.82607499999995,392.82607499999995,392.82607499999995,392.82607499999995,392.82607499999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
negative,positive,2,j,l,0,0,0,0,0,0,0,0,,,,,,,,,5,5,95,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,positive,negative,392.82607499999995,392.82607499999995,392.82607499999995,392.82607499999995,393.8011864,393.86383790000014,j,j,1,0.9832097999999405,394.8147596000001,394.8147596000001,394.8147596000001,394.8147596000001,394.8147596000001,394.8147596000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
neutral,negative,2,k,k,0,0,0,0,0,0,0,0,,,,,,,,,5,6,96,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,negative,neutral,394.8147596000001,394.8147596000001,394.8147596000001,394.8147596000001,395.7993885000001,395.83141790000013,k,k,1,0.8318183000001227,396.6481653000001,396.6481653000001,396.6481653000001,396.6481653000001,396.6481653000001,396.6481653000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
positive,negative,1,l,j,0,0,0,0,0,0,0,0,,,,,,,,,5,7,97,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,negative,positive,396.6481653000001,396.6481653000001,396.6481653000001,396.6481653000001,397.63161820000005,397.6682681,l,l,1,0.8186284999999316,398.4702743,398.4702743,398.4702743,398.4702743,398.4702743,398.4702743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
positive,neutral,2,l,j,0,0,0,0,0,0,0,0,,,,,,,,,5,8,98,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,neutral,positive,398.4702743,398.4702743,398.4702743,398.4702743,399.4426691000001,399.5017755000001,l,l,1,0.9393801999999596,400.4097024,400.4097024,400.4097024,400.4097024,400.4097024,400.4097024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
neutral,positive,1,k,k,0,0,0,0,0,0,0,0,,,,,,,,,5,9,99,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,positive,neutral,400.4097024,400.4097024,400.4097024,400.4097024,401.40236720000007,401.4318068,k,k,1,0.833319500000016,402.2417937,402.2417937,402.2417937,402.2417937,402.2417937,402.2417937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
neutral,positive,2,k,k,0,0,0,0,0,0,0,0,,,,,,,,,5,10,100,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,neutral,402.2417937,402.2417937,402.2417937,402.2417937,403.23990920000006,403.27186230000007,k,k,1,0.8730167000001074,404.12163869999995,404.12163869999995,404.12163869999995,404.12163869999995,404.12163869999995,404.12163869999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
positive,positive,2,l,j,0,0,0,0,0,0,0,0,,,,,,,,,5,11,101,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,positive,positive,404.12163869999995,404.12163869999995,404.12163869999995,404.12163869999995,405.12080820000006,405.15613069999995,l,l,1,0.9041756999999961,406.03312989999995,406.03312989999995,406.03312989999995,406.03312989999995,406.03312989999995,406.03312989999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
