distractor,target,set,ans1,ans2,total_experiment.thisRepN,total_experiment.thisTrialN,total_experiment.thisN,total_experiment.thisIndex,boat.thisRepN,boat.thisTrialN,boat.thisN,boat.thisIndex,para.thisRepN,para.thisTrialN,para.thisN,para.thisIndex,para_rep_loop.thisRepN,para_rep_loop.thisTrialN,para_rep_loop.thisN,para_rep_loop.thisIndex,para_prac_loop.thisRepN,para_prac_loop.thisTrialN,para_prac_loop.thisN,para_prac_loop.thisIndex,para_main_loop.thisRepN,para_main_loop.thisTrialN,para_main_loop.thisN,para_main_loop.thisIndex,para_rest.thisRepN,para_rest.thisTrialN,para_rest.thisN,para_rest.thisIndex,fl_rep_loop2.thisRepN,fl_rep_loop2.thisTrialN,fl_rep_loop2.thisN,fl_rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,flanker_rest.thisRepN,flanker_rest.thisTrialN,flanker_rest.thisN,flanker_rest.thisIndex,para_starter.started,para_starter_key.started,para_starter_key.keys,para_starter_key.rt,para_inst_sound.started,para_inst_key.keys,para_inst_key.rt,para_inst_image.started,para_prac_back.started,para_prac_text.started,para_fix_back.started,para_fix_2.started,main_prac,para_back.started,st_ans,st_res,st_corr,st_rt,st2_resp.keys,st2_resp.corr,para_main_back.started,para_main_text.started,para_mouse.started,para_mouse.x,para_mouse.y,para_mouse.leftButton,para_mouse.midButton,para_mouse.rightButton,rest_text.started,rest_key.started,rest_inst_text.started,rest_time.started,rest_key.keys,exp_end_key.started,exp_end_back.started,exp_end_text.started,exp_end_key.keys,fl_starter_back.started,fl_starter.started,fl_starter_text.started,fl_starter.keys,fl_starter.rt,fl_inst_resp.keys,fl_inst_resp.rt,fl_back.started,fl_mouse_prac.started,fl_mouse_prac.x,fl_mouse_prac.y,fl_mouse_prac.leftButton,fl_mouse_prac.midButton,fl_mouse_prac.rightButton,back_2.started,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_fix.started,j_button.started,k_button.started,l_button.started,targ.started,fl_fix.stopped,fl_ans,fl_res,fl_corr,fl_rt,j_button2.started,k_button2.started,l_button2.started,j_button2.stopped,k_button2.stopped,l_button2.stopped,fl_mainback.started,fl_mouse_m.started,fl_key_resp.keys,fl_mouse_m.x,fl_mouse_m.y,fl_mouse_m.leftButton,fl_mouse_m.midButton,fl_mouse_m.rightButton,exp_end_key.rt,total_end_text.started,id*,date,expName,psychopyVersion,frameRate,
negative,blue,2,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,143,143,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,643.9530047000007,k,k,1,0.8890393000037875,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,blue,2,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,144,144,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,645.8483932999952,None,None,1,1.5127481000090484,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
negative,red,2,None,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,145,145,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,648.3580364999943,None,None,1,1.5151386999932583,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,yellow,1,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,146,146,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,650.8780018999969,k,k,1,0.8756332000048133,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
negative,yellow,2,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,147,147,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,652.7512669999996,None,None,1,1.5103286000085063,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,yellow,2,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,148,148,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,655.2628796999925,k,k,1,0.7947574999998324,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,blue,1,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,149,149,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,657.0646217999893,None,None,1,1.5196643999952357,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,red,2,None,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,150,150,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,659.5861509999959,None,None,1,1.5250573999946937,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
negative,blue,2,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,151,151,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,662.1148496999958,k,k,1,0.951025500005926,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
negative,yellow,1,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,152,152,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,664.0720714999916,None,None,1,1.5331239999941317,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,blue,1,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,153,153,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,666.6089787999954,None,None,1,1.512329100005445,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,red,2,None,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,154,154,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,669.1243590999948,None,None,1,1.5309067000052892,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,yellow,2,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,155,155,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,671.6622429999989,k,k,1,0.9116536999936216,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,blue,1,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,156,156,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,673.5800855999987,None,None,1,1.5398395000083838,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
negative,blue,1,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,157,157,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,676.1120916999935,k,k,1,0.9951242999959504,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,yellow,2,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,158,158,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,678.1130171999976,k,k,1,0.901686700002756,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,red,2,None,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,159,159,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,680.0213793000003,None,None,1,1.510323900001822,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
negative,blue,1,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,160,160,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,682.5322845999908,k,k,1,0.9612674999953015,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
negative,blue,2,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,161,161,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,684.4950352999876,k,k,1,0.8739860999921802,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
negative,red,2,None,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,162,162,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,686.3765471999941,None,None,1,1.51218869999866,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
negative,blue,2,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,163,163,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,688.8881148999935,k,k,1,0.785137200000463,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,blue,2,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,164,164,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,690.6795669999992,None,None,1,1.594749600000796,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,blue,1,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,165,165,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,693.2722076999926,None,None,1,1.5255761000007624,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,red,2,None,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,166,166,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,695.7970815000008,None,None,1,1.5095237999921665,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,red,1,None,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,167,167,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,698.3127820999944,None,None,1,1.5098759999964386,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
negative,blue,2,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,168,168,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,700.8262801999954,k,k,1,0.8342647999961628,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
negative,yellow,2,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,169,169,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,702.6649952999869,None,None,1,1.528004299994791,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,yellow,1,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,170,170,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,705.193862199987,k,k,1,0.8778468999953475,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,yellow,1,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,171,171,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,707.0787689999997,k,k,1,0.8992536000005202,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
negative,blue,2,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,172,172,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,708.9767564999929,k,k,1,0.8371328000066569,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,yellow,2,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,173,173,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,710.8231420999946,k,k,1,1.075928299993393,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
negative,red,2,None,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,174,174,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,712.9032986999955,None,None,1,1.5200593000045046,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,yellow,2,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,175,175,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,715.4207826999918,k,k,1,0.8648200000025099,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
negative,blue,2,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,176,176,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,717.2920715999935,k,k,1,1.1360793999920134,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,blue,2,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,177,177,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,719.4355077999935,None,None,1,1.5258907999959774,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,blue,1,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,178,178,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,721.9575946999976,None,None,1,1.5252997999923537,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
negative,yellow,2,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,179,179,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,724.4890233999904,None,None,1,1.518278299990925,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,yellow,1,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,180,180,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,727.0075295999995,k,k,1,1.339419399999315,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,yellow,2,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,181,181,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,729.3457328999939,k,k,1,0.8020447999879252,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,blue,1,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,182,182,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,731.1596436999971,None,None,1,1.521653600007994,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
negative,yellow,1,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,183,183,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,733.6767082999868,None,None,1,1.5264682000124594,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
negative,blue,1,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,184,184,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,736.2058775999903,k,k,1,0.9387421999999788,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
negative,blue,1,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,185,185,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,738.150324599992,k,k,1,0.8661911000090186,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,red,1,None,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,186,186,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,740.0205138999881,None,None,1,1.5156014999956824,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
negative,blue,1,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,187,187,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,742.538899399995,k,k,1,0.7784240999899339,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
negative,yellow,1,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,188,188,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,744.3232852999936,None,None,1,1.530450700010988,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,yellow,2,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,189,189,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,746.8517849999917,k,k,1,0.782508800009964,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,blue,1,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,190,190,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,748.6385091999982,None,k,0,0.8874234999966575,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
negative,red,1,None,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,191,191,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,751.5650199999945,None,None,1,1.5400141999998596,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,blue,2,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,192,192,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,754.1115900999866,None,None,1,1.5117784000030952,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,blue,1,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,193,193,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,756.6249297999893,None,None,1,1.528675599998678,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,yellow,1,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,194,194,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,759.1557158999931,k,k,1,0.8450788000045577,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,yellow,1,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,195,195,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,761.0020461999957,k,k,1,0.7903379000053974,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
negative,yellow,1,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,196,196,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,762.7941259999934,None,None,1,1.51577620000171,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
negative,red,1,None,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,197,197,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,765.3133578999987,None,None,1,1.5314122999989195,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,blue,1,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,198,198,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,767.8500043999957,None,None,1,1.5300529000087408,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
negative,blue,1,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,199,199,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,770.384427500001,k,k,1,0.9817628000018885,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,red,1,None,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,200,200,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,772.3728708999988,None,None,1,1.5170053000038024,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,red,2,None,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,201,201,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,774.8913676999946,None,None,1,1.5146367999986978,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,red,1,None,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,202,202,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,777.4086676999868,None,None,1,1.526209799994831,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
positive,blue,2,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,203,203,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,779.9372643999959,None,None,1,1.5323101000103634,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,2022-12-08_12h19.43.811,Main,2022.2.2,60.2318927877292,
