target,distractor,set,ans1,ans2,total_experiment.thisRepN,total_experiment.thisTrialN,total_experiment.thisN,total_experiment.thisIndex,boat.thisRepN,boat.thisTrialN,boat.thisN,boat.thisIndex,fl_rep_loop2.thisRepN,fl_rep_loop2.thisTrialN,fl_rep_loop2.thisN,fl_rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,flanker_rest.thisRepN,flanker_rest.thisTrialN,flanker_rest.thisN,flanker_rest.thisIndex,para.thisRepN,para.thisTrialN,para.thisN,para.thisIndex,para_rep_loop.thisRepN,para_rep_loop.thisTrialN,para_rep_loop.thisN,para_rep_loop.thisIndex,para_prac_loop.thisRepN,para_prac_loop.thisTrialN,para_prac_loop.thisN,para_prac_loop.thisIndex,para_main_loop.thisRepN,para_main_loop.thisTrialN,para_main_loop.thisN,para_main_loop.thisIndex,para_rest.thisRepN,para_rest.thisTrialN,para_rest.thisN,para_rest.thisIndex,fl_starter_back.started,fl_starter.started,fl_starter.keys,fl_starter.rt,fl_inst_resp.keys,fl_inst_resp.rt,fl_back.started,fl_mouse_prac.started,fl_mouse_prac.x,fl_mouse_prac.y,fl_mouse_prac.leftButton,fl_mouse_prac.midButton,fl_mouse_prac.rightButton,back_2.started,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_fix.started,j_button.started,k_button.started,l_button.started,targ.started,fl_fix.stopped,fl_ans,fl_res,fl_corr,fl_rt,j_button2.started,k_button2.started,l_button2.started,j_button2.stopped,k_button2.stopped,l_button2.stopped,fl_mainback.started,fl_mouse_m.started,fl_key_resp.keys,fl_mouse_m.x,fl_mouse_m.y,fl_mouse_m.leftButton,fl_mouse_m.midButton,fl_mouse_m.rightButton,rest_text.started,rest_key.started,rest_inst_text.started,rest_time.started,rest_key.keys,exp_end_key.started,exp_end_back.started,exp_end_text.started,exp_end_key.keys,exp_end_key.rt,para_starter.started,para_starter_key.started,para_starter_key.keys,para_starter_key.rt,para_inst_sound.started,para_inst_key.keys,para_inst_key.rt,para_inst_image.started,para_prac_back.started,para_prac_text.started,para_fix_back.started,para_fix_2.started,para_back.started,st_ans,st_res,st_corr,st_rt,st2_resp.keys,st2_resp.corr,para_main_back.started,para_main_text.started,para_mouse.started,para_mouse.x,para_mouse.y,para_mouse.leftButton,para_mouse.midButton,para_mouse.rightButton,total_end_text.started,id*,date,expName,psychopyVersion,frameRate,
negative,positive,2,j,l,0,0,0,0,0,0,0,0,,,,,,,,,4,1,73,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,negative,295.68686679999973,295.68686679999973,295.68686679999973,295.68686679999973,296.67139099999986,296.70374539999966,j,j,1,0.8897710000001098,297.58451319999995,297.58451319999995,297.58451319999995,297.58451319999995,297.58451319999995,297.58451319999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
positive,neutral,1,l,j,0,0,0,0,0,0,0,0,,,,,,,,,4,2,74,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,positive,297.58451319999995,297.58451319999995,297.58451319999995,297.58451319999995,298.5548566999996,298.6186539999999,l,l,1,0.931918400000086,299.51547919999985,299.51547919999985,299.51547919999985,299.51547919999985,299.51547919999985,299.51547919999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,neutral,1,k,k,0,0,0,0,0,0,0,0,,,,,,,,,4,3,75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,neutral,299.51547919999985,299.51547919999985,299.51547919999985,299.51547919999985,300.5227689999997,300.5571768,k,k,1,0.8861495000001014,301.4092390999999,301.4092390999999,301.4092390999999,301.4092390999999,301.4092390999999,301.4092390999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,positive,1,k,k,0,0,0,0,0,0,0,0,,,,,,,,,4,4,76,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,positive,neutral,301.4092390999999,301.4092390999999,301.4092390999999,301.4092390999999,302.3827741,302.4479570999997,k,k,1,1.0403673000000708,303.44960649999985,303.44960649999985,303.44960649999985,303.44960649999985,303.44960649999985,303.44960649999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,negative,1,k,k,0,0,0,0,0,0,0,0,,,,,,,,,4,5,77,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,negative,neutral,303.44960649999985,303.44960649999985,303.44960649999985,303.44960649999985,304.4289197999997,304.49617999999964,k,k,1,0.7860549000001811,305.24244629999976,305.24244629999976,305.24244629999976,305.24244629999976,305.24244629999976,305.24244629999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
positive,negative,1,l,j,0,0,0,0,0,0,0,0,,,,,,,,,4,6,78,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,negative,positive,305.24244629999976,305.24244629999976,305.24244629999976,305.24244629999976,306.23971189999975,306.2719887999997,l,l,1,0.7410405000000537,306.9866573999998,306.9866573999998,306.9866573999998,306.9866573999998,306.9866573999998,306.9866573999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
positive,negative,2,l,j,0,0,0,0,0,0,0,0,,,,,,,,,4,7,79,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,negative,positive,306.9866573999998,306.9866573999998,306.9866573999998,306.9866573999998,307.9714933,308.0024427999997,l,l,1,0.7405853999998726,308.7307367999997,308.7307367999997,308.7307367999997,308.7307367999997,308.7307367999997,308.7307367999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,positive,1,j,l,0,0,0,0,0,0,0,0,,,,,,,,,4,8,80,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,positive,negative,308.7307367999997,308.7307367999997,308.7307367999997,308.7307367999997,309.6978944999996,309.77048109999987,j,j,1,0.7139913999999408,310.44291169999997,310.44291169999997,310.44291169999997,310.44291169999997,310.44291169999997,310.44291169999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,neutral,2,j,l,0,0,0,0,0,0,0,0,,,,,,,,,4,9,81,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,neutral,negative,310.44291169999997,310.44291169999997,310.44291169999997,310.44291169999997,311.4534940999997,311.48733619999985,j,j,1,1.00203829999964,312.4514820999998,312.4514820999998,312.4514820999998,312.4514820999998,312.4514820999998,312.4514820999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
positive,positive,2,l,j,0,0,0,0,0,0,0,0,,,,,,,,,4,10,82,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,positive,positive,312.4514820999998,312.4514820999998,312.4514820999998,312.4514820999998,313.4394987999999,313.47606019999967,l,l,1,1.2424541000000318,314.70212409999976,314.70212409999976,314.70212409999976,314.70212409999976,314.70212409999976,314.70212409999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
positive,neutral,2,l,j,0,0,0,0,0,0,0,0,,,,,,,,,4,11,83,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,neutral,positive,314.70212409999976,314.70212409999976,314.70212409999976,314.70212409999976,315.67276730000003,315.7467769,l,l,1,0.8585836000002018,316.56165409999994,316.56165409999994,316.56165409999994,316.56165409999994,316.56165409999994,316.56165409999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,neutral,2,k,k,0,0,0,0,0,0,0,0,,,,,,,,,4,12,84,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,neutral,316.56165409999994,316.56165409999994,316.56165409999994,316.56165409999994,317.5717219999997,317.6094963999999,k,k,1,0.8417457000000468,318.41560379999964,318.41560379999964,318.41560379999964,318.41560379999964,318.41560379999964,318.41560379999964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,neutral,1,j,l,0,0,0,0,0,0,0,0,,,,,,,,,4,13,85,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,negative,318.41560379999964,318.41560379999964,318.41560379999964,318.41560379999964,319.3867401999996,319.4512479,j,j,1,0.8737644000002547,320.28799279999976,320.28799279999976,320.28799279999976,320.28799279999976,320.28799279999976,320.28799279999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,negative,2,j,l,0,0,0,0,0,0,0,0,,,,,,,,,4,14,86,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,negative,320.28799279999976,320.28799279999976,320.28799279999976,320.28799279999976,321.2586630999999,321.3367186999999,j,j,1,0.8986864999997124,322.1884863,322.1884863,322.1884863,322.1884863,322.1884863,322.1884863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,negative,1,j,l,0,0,0,0,0,0,0,0,,,,,,,,,4,15,87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,negative,negative,322.1884863,322.1884863,322.1884863,322.1884863,323.1898105999999,323.2230193999999,j,j,1,0.7937974999999824,323.9868790999999,323.9868790999999,323.9868790999999,323.9868790999999,323.9868790999999,323.9868790999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,negative,2,k,k,0,0,0,0,0,0,0,0,,,,,,,,,4,16,88,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,neutral,323.9868790999999,323.9868790999999,323.9868790999999,323.9868790999999,324.9890501,325.0226547999996,k,k,1,1.0095415999999204,326.00154999999995,326.00154999999995,326.00154999999995,326.00154999999995,326.00154999999995,326.00154999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,positive,2,k,k,0,0,0,0,0,0,0,0,,,,,,,,,4,17,89,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,positive,neutral,326.00154999999995,326.00154999999995,326.00154999999995,326.00154999999995,327.00285889999986,327.03420689999984,k,k,1,0.8509518999999273,327.8583378999997,327.8583378999997,327.8583378999997,327.8583378999997,327.8583378999997,327.8583378999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,positive,1,k,k,0,0,0,0,0,0,0,0,,,,,,,,,5,0,90,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,neutral,327.8583378999997,327.8583378999997,327.8583378999997,327.8583378999997,328.85876069999995,328.8954225999996,k,k,1,0.7653646000003391,329.6311010999998,329.6311010999998,329.6311010999998,329.6311010999998,329.6311010999998,329.6311010999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,neutral,2,k,k,0,0,0,0,0,0,0,0,,,,,,,,,5,1,91,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,neutral,329.6311010999998,329.6311010999998,329.6311010999998,329.6311010999998,330.61872349999976,330.65072919999966,k,k,1,0.762240699999893,331.3890287999998,331.3890287999998,331.3890287999998,331.3890287999998,331.3890287999998,331.3890287999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
positive,neutral,2,l,j,0,0,0,0,0,0,0,0,,,,,,,,,5,2,92,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,positive,331.3890287999998,331.3890287999998,331.3890287999998,331.3890287999998,332.36804949999987,332.4357329999998,l,l,1,0.9539992999998503,333.34611529999984,333.34611529999984,333.34611529999984,333.34611529999984,333.34611529999984,333.34611529999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,neutral,2,j,l,0,0,0,0,0,0,0,0,,,,,,,,,5,3,93,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,neutral,negative,333.34611529999984,333.34611529999984,333.34611529999984,333.34611529999984,334.3291648999998,334.3628056999996,j,j,1,0.7901331000002756,335.1417965999999,335.1417965999999,335.1417965999999,335.1417965999999,335.1417965999999,335.1417965999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,negative,2,j,l,0,0,0,0,0,0,0,0,,,,,,,,,5,4,94,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,negative,335.1417965999999,335.1417965999999,335.1417965999999,335.1417965999999,336.12465099999963,336.1673050999998,j,j,1,0.6921558999997615,336.83504079999966,336.83504079999966,336.83504079999966,336.83504079999966,336.83504079999966,336.83504079999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,neutral,1,k,k,0,0,0,0,0,0,0,0,,,,,,,,,5,5,95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,neutral,336.83504079999966,336.83504079999966,336.83504079999966,336.83504079999966,337.8359406999998,337.86767729999974,k,k,1,0.775423900000078,338.61590449999994,338.61590449999994,338.61590449999994,338.61590449999994,338.61590449999994,338.61590449999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,positive,2,k,k,0,0,0,0,0,0,0,0,,,,,,,,,5,6,96,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,positive,neutral,338.61590449999994,338.61590449999994,338.61590449999994,338.61590449999994,339.5883893,339.65409839999984,k,k,1,0.7309667999998055,340.3471427999998,340.3471427999998,340.3471427999998,340.3471427999998,340.3471427999998,340.3471427999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,negative,1,k,k,0,0,0,0,0,0,0,0,,,,,,,,,5,7,97,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,negative,neutral,340.3471427999998,340.3471427999998,340.3471427999998,340.3471427999998,341.34895929999993,341.3818283999999,k,k,1,0.6342987000002722,341.98567319999984,341.98567319999984,341.98567319999984,341.98567319999984,341.98567319999984,341.98567319999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,negative,2,k,k,0,0,0,0,0,0,0,0,,,,,,,,,5,8,98,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,negative,neutral,341.98567319999984,341.98567319999984,341.98567319999984,341.98567319999984,342.97223540000005,343.0060632999998,k,k,1,0.7286033999998835,343.71423289999984,343.71423289999984,343.71423289999984,343.71423289999984,343.71423289999984,343.71423289999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,negative,1,j,l,0,0,0,0,0,0,0,0,,,,,,,,,5,9,99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,negative,negative,343.71423289999984,343.71423289999984,343.71423289999984,343.71423289999984,344.70827899999995,344.74298439999984,j,j,1,1.10663169999998,345.8268473999997,345.8268473999997,345.8268473999997,345.8268473999997,345.8268473999997,345.8268473999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
positive,positive,2,l,j,0,0,0,0,0,0,0,0,,,,,,,,,5,10,100,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,positive,345.8268473999997,345.8268473999997,345.8268473999997,345.8268473999997,346.8032583999998,346.87089509999987,l,j,0,0.9961911000000327,347.79975399999967,347.79975399999967,347.79975399999967,348.8356911999999,348.8356911999999,348.8356911999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
positive,positive,1,l,j,0,0,0,0,0,0,0,0,,,,,,,,,5,11,101,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,positive,positive,348.8356911999999,348.8356911999999,348.8356911999999,348.8356911999999,349.81663409999965,349.8924715999997,l,l,1,1.193060599999626,351.03790739999977,351.03790739999977,351.03790739999977,351.03790739999977,351.03790739999977,351.03790739999977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,neutral,1,j,l,0,0,0,0,0,0,0,0,,,,,,,,,5,12,102,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,neutral,negative,351.03790739999977,351.03790739999977,351.03790739999977,351.03790739999977,352.0055250999999,352.07186729999967,j,j,1,1.1156222999998135,353.1557392999998,353.1557392999998,353.1557392999998,353.1557392999998,353.1557392999998,353.1557392999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
positive,negative,1,l,j,0,0,0,0,0,0,0,0,,,,,,,,,5,13,103,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,negative,positive,353.1557392999998,353.1557392999998,353.1557392999998,353.1557392999998,354.1460634,354.1853117999999,l,l,1,1.3260837000002539,355.4892341,355.4892341,355.4892341,355.4892341,355.4892341,355.4892341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,positive,2,j,l,0,0,0,0,0,0,0,0,,,,,,,,,5,14,104,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,negative,355.4892341,355.4892341,355.4892341,355.4892341,356.4875788999998,356.5253352,j,j,1,0.9570036000000073,357.4461758999996,357.4461758999996,357.4461758999996,357.4461758999996,357.4461758999996,357.4461758999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
positive,neutral,1,l,j,0,0,0,0,0,0,0,0,,,,,,,,,5,15,105,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,positive,357.4461758999996,357.4461758999996,357.4461758999996,357.4461758999996,358.4500929999999,358.4839112999998,l,l,1,1.4945812999999362,359.9466266999998,359.9466266999998,359.9466266999998,359.9466266999998,359.9466266999998,359.9466266999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
positive,negative,2,l,j,0,0,0,0,0,0,0,0,,,,,,,,,5,16,106,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,negative,positive,359.9466266999998,359.9466266999998,359.9466266999998,359.9466266999998,360.93248919999996,360.96553079999967,l,l,1,0.8854565999999977,361.84025329999986,361.84025329999986,361.84025329999986,361.84025329999986,361.84025329999986,361.84025329999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,positive,1,j,l,0,0,0,0,0,0,0,0,,,,,,,,,5,17,107,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,positive,negative,361.84025329999986,361.84025329999986,361.84025329999986,361.84025329999986,362.8083392999997,362.8809541999999,j,j,1,1.4937165999999706,364.33199590000004,364.33199590000004,364.33199590000004,364.33199590000004,364.33199590000004,364.33199590000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,neutral,2,j,l,0,0,0,0,0,0,0,0,,,,,,,,,6,0,108,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,negative,364.33199590000004,364.33199590000004,364.33199590000004,364.33199590000004,365.3155012999996,365.34790239999984,j,j,1,0.9925462999999581,366.32434749999993,366.32434749999993,366.32434749999993,366.32434749999993,366.32434749999993,366.32434749999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,positive,1,j,l,0,0,0,0,0,0,0,0,,,,,,,,,6,1,109,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,negative,366.32434749999993,366.32434749999993,366.32434749999993,366.32434749999993,367.33325289999993,367.36946979999993,j,j,1,1.0762407999995958,368.4049437999997,368.4049437999997,368.4049437999997,368.4049437999997,368.4049437999997,368.4049437999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,negative,1,j,l,0,0,0,0,0,0,0,0,,,,,,,,,6,2,110,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,negative,negative,368.4049437999997,368.4049437999997,368.4049437999997,368.4049437999997,369.3997032999996,369.43449429999964,j,j,1,0.7021655999997165,370.10829779999995,370.10829779999995,370.10829779999995,370.10829779999995,370.10829779999995,370.10829779999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,negative,1,k,k,0,0,0,0,0,0,0,0,,,,,,,,,6,3,111,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,negative,neutral,370.10829779999995,370.10829779999995,370.10829779999995,370.10829779999995,371.08296569999993,371.1491960999997,k,k,1,0.8438473000001068,371.9559786,371.9559786,371.9559786,371.9559786,371.9559786,371.9559786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
positive,positive,2,l,j,0,0,0,0,0,0,0,0,,,,,,,,,6,4,112,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,positive,positive,371.9559786,371.9559786,371.9559786,371.9559786,372.9469661999997,372.9936249999996,l,l,1,0.6746414999997796,373.63277849999986,373.63277849999986,373.63277849999986,373.63277849999986,373.63277849999986,373.63277849999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,negative,2,j,l,0,0,0,0,0,0,0,0,,,,,,,,,6,5,113,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,negative,373.63277849999986,373.63277849999986,373.63277849999986,373.63277849999986,374.6065980999997,374.6710307999997,j,j,1,1.0413800999999694,375.6801518999996,375.6801518999996,375.6801518999996,375.6801518999996,375.6801518999996,375.6801518999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,neutral,1,k,k,0,0,0,0,0,0,0,0,,,,,,,,,6,6,114,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,neutral,375.6801518999996,375.6801518999996,375.6801518999996,375.6801518999996,376.64985709999974,376.7217985999996,k,k,1,1.6491203999999016,378.3111753999997,378.3111753999997,378.3111753999997,379.36843279999994,379.36843279999994,379.36843279999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,neutral,2,k,k,0,0,0,0,0,0,0,0,,,,,,,,,6,7,115,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,neutral,379.36843279999994,379.36843279999994,379.36843279999994,379.36843279999994,380.34882319999997,380.41180459999987,k,k,1,0.8955071000000316,381.26210139999966,381.26210139999966,381.26210139999966,381.26210139999966,381.26210139999966,381.26210139999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,neutral,1,j,l,0,0,0,0,0,0,0,0,,,,,,,,,6,8,116,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,negative,381.26210139999966,381.26210139999966,381.26210139999966,381.26210139999966,382.2523299999998,382.28808349999963,j,j,1,1.0123920999999427,383.2813954999997,383.2813954999997,383.2813954999997,383.2813954999997,383.2813954999997,383.2813954999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
