distractor,target,set,ans1,ans2,total_experiment.thisRepN,total_experiment.thisTrialN,total_experiment.thisN,total_experiment.thisIndex,boat.thisRepN,boat.thisTrialN,boat.thisN,boat.thisIndex,para.thisRepN,para.thisTrialN,para.thisN,para.thisIndex,para_rep_loop.thisRepN,para_rep_loop.thisTrialN,para_rep_loop.thisN,para_rep_loop.thisIndex,para_prac_loop.thisRepN,para_prac_loop.thisTrialN,para_prac_loop.thisN,para_prac_loop.thisIndex,para_main_loop.thisRepN,para_main_loop.thisTrialN,para_main_loop.thisN,para_main_loop.thisIndex,para_rest.thisRepN,para_rest.thisTrialN,para_rest.thisN,para_rest.thisIndex,fl_rep_loop2.thisRepN,fl_rep_loop2.thisTrialN,fl_rep_loop2.thisN,fl_rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,flanker_rest.thisRepN,flanker_rest.thisTrialN,flanker_rest.thisN,flanker_rest.thisIndex,para_starter.started,para_starter_key.started,para_starter_key.keys,para_starter_key.rt,para_inst_sound.started,para_inst_key.keys,para_inst_key.rt,para_inst_image.started,para_prac_back.started,para_prac_text.started,para_fix_back.started,para_fix_2.started,main_prac,para_back.started,st_ans,st_res,st_corr,st_rt,st2_resp.keys,st2_resp.corr,para_main_back.started,para_main_text.started,para_mouse.started,para_mouse.x,para_mouse.y,para_mouse.leftButton,para_mouse.midButton,para_mouse.rightButton,rest_text.started,rest_key.started,rest_inst_text.started,rest_time.started,rest_key.keys,exp_end_key.started,exp_end_back.started,exp_end_text.started,exp_end_key.keys,exp_end_key.rt,fl_starter_back.started,fl_starter.started,fl_starter_text.started,fl_starter.keys,fl_starter.rt,fl_inst_resp.keys,fl_inst_resp.rt,fl_back.started,fl_mouse_prac.started,fl_mouse_prac.x,fl_mouse_prac.y,fl_mouse_prac.leftButton,fl_mouse_prac.midButton,fl_mouse_prac.rightButton,back_2.started,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_fix.started,j_button.started,k_button.started,l_button.started,targ.started,fl_fix.stopped,fl_ans,fl_res,fl_corr,fl_rt,j_button2.started,k_button2.started,l_button2.started,j_button2.stopped,k_button2.stopped,l_button2.stopped,fl_mainback.started,fl_mouse_m.started,fl_key_resp.keys,fl_mouse_m.x,fl_mouse_m.y,fl_mouse_m.leftButton,fl_mouse_m.midButton,fl_mouse_m.rightButton,rest_text.stopped,rest_key.stopped,rest_inst_text.stopped,rest_time.stopped,total_end_text.started,id*,date,expName,psychopyVersion,frameRate,
positive,yellow,1,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,147,147,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,776.1038034999999,k,k,1,1.1943092999999863,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,yellow,2,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,148,148,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,778.3083214000001,k,k,1,1.2973492000000988,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,red,2,None,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,149,149,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,780.6114301,None,None,1,1.5249826000001576,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,blue,2,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,150,150,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,783.1358998999999,None,None,1,1.5234820999999101,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,blue,2,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,151,151,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,785.6603900999999,None,None,1,1.5314421000000493,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,yellow,1,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,152,152,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,788.1987449000001,k,k,1,0.9962974000000031,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,red,1,None,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,153,153,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,790.1961156,None,None,1,1.5140341000001172,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,blue,1,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,154,154,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,792.7114047,None,None,1,1.5093749999998636,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,blue,2,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,155,155,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,795.2261034,k,k,1,1.1707401999999547,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,blue,2,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,156,156,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,797.4015016000001,None,None,1,1.532533199999989,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,red,1,None,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,157,157,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,799.9321206,None,None,1,1.5292524999999841,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,red,1,None,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,158,158,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,802.4636751,None,None,1,1.513663700000052,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,yellow,1,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,159,159,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,804.9777105000001,None,None,1,1.5090496000000257,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,blue,2,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,160,160,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,807.489435,k,k,1,0.9502245999999559,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,blue,2,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,161,161,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,809.4464539999999,k,k,1,1.1654476000001068,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,blue,2,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,162,162,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,811.6205995,None,None,1,1.5070887999997922,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,red,2,None,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,163,163,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,814.1242496,None,None,1,1.5276060999999572,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,red,1,None,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,164,164,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,816.6508180000001,None,None,1,1.5125233000001117,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,blue,2,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,165,165,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,819.1647659,None,None,1,1.5184017999999924,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,blue,2,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,166,166,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,821.6887311999999,k,k,1,0.9820529999999508,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,blue,1,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,167,167,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,823.6782587,None,None,1,1.5162112999998953,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,blue,1,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,168,168,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,826.1981816,None,None,1,1.5227778999999373,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,yellow,1,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,169,169,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,828.7187243000001,k,k,1,1.2861818999999741,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,yellow,1,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,170,170,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,831.0159180999999,None,None,1,1.5077645000001212,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,blue,2,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,171,171,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,833.5254941999999,None,None,1,1.5250575000000026,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,yellow,1,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,172,172,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,836.0463841000001,None,None,1,1.5194687000000613,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,yellow,2,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,173,173,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,838.5716651,k,k,1,1.55857600000013,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,red,1,None,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,174,174,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,842.1534331,None,None,1,1.520630600000004,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,red,2,None,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,175,175,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,844.67959,None,None,1,1.5167483000000175,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,blue,1,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,176,176,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,847.1969365,None,None,1,1.5232942999998613,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,blue,2,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,177,177,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,849.7191425999999,k,k,1,0.9568887000000359,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,blue,2,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,178,178,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,851.6875723,k,k,1,1.7549205000000256,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,yellow,2,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,179,179,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,855.4719992,k,k,1,1.028375499999811,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,blue,1,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,180,180,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,857.5057353,None,None,1,1.5084994999999708,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,blue,1,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,181,181,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,860.0092554999999,k,k,1,1.2974063999999998,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,yellow,1,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,182,182,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,862.3141292999999,None,None,1,1.5250261999999566,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,yellow,2,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,183,183,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,864.8364968000001,None,None,1,1.529623299999912,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,yellow,1,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,184,184,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,867.3697325,k,k,1,1.1681573999999273,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,red,1,None,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,185,185,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,869.5452098000001,None,None,1,1.5285645999999815,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,red,1,None,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,186,186,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,872.0746723,None,None,1,1.5281549000001178,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,blue,2,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,187,187,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,874.6119552999999,k,k,1,1.0329165999999077,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,yellow,2,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,188,188,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,876.6494771999999,None,None,1,1.5156054999999924,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,yellow,2,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,189,189,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,879.1623233999999,None,None,1,1.5199357999999847,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,red,2,None,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,190,190,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,881.6949319,None,None,1,1.5166357000000517,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,yellow,1,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,191,191,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,884.2126194,None,None,1,1.514317199999823,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,yellow,1,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,192,192,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,886.7352942,k,k,1,1.3503593000000365,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,blue,1,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,193,193,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,889.0947813,k,k,1,1.3263155000001916,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,red,2,None,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,194,194,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,891.4224675,None,None,1,1.5152467000000343,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,yellow,1,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,195,195,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,893.9327991999999,k,k,1,1.145533099999966,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,red,1,None,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,196,196,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,896.0892506,None,None,1,1.5190115000000333,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,yellow,1,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,197,197,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,898.6061336999999,None,None,1,1.5305855999999949,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,yellow,1,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,198,198,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,901.1380369999999,k,k,1,1.01027380000005,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,red,2,None,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,199,199,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,903.154597,None,None,1,1.5187344999999368,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,yellow,2,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,200,200,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,905.6764086000001,None,None,1,1.5240166999999474,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,red,1,None,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,201,201,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,908.1997534,None,None,1,1.516820800000005,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,red,2,None,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,202,202,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,910.7213777,None,None,1,1.524163999999928,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,yellow,2,k,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,203,203,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,913.2483361,None,None,1,1.5297577000001183,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
positive,yellow,2,None,k,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,204,204,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,915.7811075,k,k,1,0.9035934999999427,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
negative,red,1,None,None,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,205,205,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,917.6903115,None,None,1,1.5145531999999093,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,2023-02-13_11h01.50.499,Main,2022.2.2,59.86052497680231,
