target,distractor,set,ans1,ans2,total_experiment.thisRepN,total_experiment.thisTrialN,total_experiment.thisN,total_experiment.thisIndex,boat.thisRepN,boat.thisTrialN,boat.thisN,boat.thisIndex,fl_rep_loop2.thisRepN,fl_rep_loop2.thisTrialN,fl_rep_loop2.thisN,fl_rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,flanker_rest.thisRepN,flanker_rest.thisTrialN,flanker_rest.thisN,flanker_rest.thisIndex,para.thisRepN,para.thisTrialN,para.thisN,para.thisIndex,para_rep_loop.thisRepN,para_rep_loop.thisTrialN,para_rep_loop.thisN,para_rep_loop.thisIndex,para_prac_loop.thisRepN,para_prac_loop.thisTrialN,para_prac_loop.thisN,para_prac_loop.thisIndex,para_main_loop.thisRepN,para_main_loop.thisTrialN,para_main_loop.thisN,para_main_loop.thisIndex,para_rest.thisRepN,para_rest.thisTrialN,para_rest.thisN,para_rest.thisIndex,fl_starter_back.started,fl_starter.started,fl_starter_text.started,fl_starter.keys,fl_starter.rt,fl_inst_resp.keys,fl_inst_resp.rt,fl_back.started,fl_mouse_prac.started,fl_mouse_prac.x,fl_mouse_prac.y,fl_mouse_prac.leftButton,fl_mouse_prac.midButton,fl_mouse_prac.rightButton,back_2.started,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_fix.started,j_button.started,k_button.started,l_button.started,targ.started,fl_fix.stopped,fl_ans,fl_res,fl_corr,fl_rt,j_button2.started,k_button2.started,l_button2.started,j_button2.stopped,k_button2.stopped,l_button2.stopped,fl_mainback.started,fl_mouse_m.started,fl_key_resp.keys,fl_key_resp.rt,fl_mouse_m.x,fl_mouse_m.y,fl_mouse_m.leftButton,fl_mouse_m.midButton,fl_mouse_m.rightButton,rest_text.started,rest_key.started,rest_inst_text.started,rest_time.started,rest_key.keys,exp_end_key.started,exp_end_back.started,exp_end_text.started,exp_end_key.keys,exp_end_key.rt,para_starter.started,para_starter_key.started,para_starter_key.keys,para_starter_key.rt,para_inst_sound.started,para_inst_key.keys,para_inst_key.rt,para_inst_image.started,para_prac_back.started,para_prac_text.started,para_fix_back.started,para_fix_2.started,para_back.started,st_ans,st_res,st_corr,st_rt,st2_resp.keys,st2_resp.corr,para_main_back.started,para_main_text.started,para_mouse.started,para_mouse.x,para_mouse.y,para_mouse.leftButton,para_mouse.midButton,para_mouse.rightButton,para_mouse.clicked_name,rest_text.stopped,rest_key.stopped,rest_inst_text.stopped,rest_time.stopped,total_end_text.started,id*,date,expName,psychopyVersion,frameRate,
positive,negative,1,l,j,0,0,0,0,0,0,0,0,,,,,,,,,4,5,77,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,negative,positive,465.50742630000013,465.50742630000013,465.50742630000013,465.50742630000013,466.4856077999998,466.5490322999999,l,l,1,1.2504124000001866,467.75965429999997,467.75965429999997,467.75965429999997,467.75965429999997,467.75965429999997,467.75965429999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
negative,neutral,2,j,l,0,0,0,0,0,0,0,0,,,,,,,,,4,6,78,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,negative,467.75965429999997,467.75965429999997,467.75965429999997,467.75965429999997,468.7496621999999,468.78147880000006,j,j,1,1.0905275999998594,469.85201879999977,469.85201879999977,469.85201879999977,469.85201879999977,469.85201879999977,469.85201879999977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
negative,positive,1,j,l,0,0,0,0,0,0,0,0,,,,,,,,,4,7,79,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,positive,negative,469.85201879999977,469.85201879999977,469.85201879999977,469.85201879999977,470.8421562999997,470.8725678999999,j,j,1,1.2156472000001486,472.07006580000007,472.07006580000007,472.07006580000007,472.07006580000007,472.07006580000007,472.07006580000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
positive,positive,2,l,j,0,0,0,0,0,0,0,0,,,,,,,,,4,8,80,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,positive,472.07006580000007,472.07006580000007,472.07006580000007,472.07006580000007,473.0645980999998,473.0966672999998,l,l,1,1.2419135000000097,474.3097107999997,474.3097107999997,474.3097107999997,474.3097107999997,474.3097107999997,474.3097107999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
neutral,neutral,1,k,k,0,0,0,0,0,0,0,0,,,,,,,,,4,9,81,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,neutral,474.3097107999997,474.3097107999997,474.3097107999997,474.3097107999997,475.31286009999985,475.34355189999997,k,k,1,1.2874462999998286,476.6076029000001,476.6076029000001,476.6076029000001,476.6076029000001,476.6076029000001,476.6076029000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
neutral,positive,2,k,k,0,0,0,0,0,0,0,0,,,,,,,,,4,10,82,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,positive,neutral,476.6076029000001,476.6076029000001,476.6076029000001,476.6076029000001,477.58304069999986,477.64923050000016,k,k,1,1.2506134000000202,478.86170889999994,478.86170889999994,478.86170889999994,478.86170889999994,478.86170889999994,478.86170889999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
negative,negative,2,j,l,0,0,0,0,0,0,0,0,,,,,,,,,4,11,83,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,negative,478.86170889999994,478.86170889999994,478.86170889999994,478.86170889999994,479.83676030000015,479.89915269999983,j,j,1,1.503595900000164,481.3461228000001,481.3461228000001,481.3461228000001,482.40230070000007,482.40230070000007,482.40230070000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
neutral,positive,1,k,k,0,0,0,0,0,0,0,0,,,,,,,,,4,12,84,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,neutral,482.40230070000007,482.40230070000007,482.40230070000007,482.40230070000007,483.3845225,483.4458381999998,k,k,1,1.1161455000001297,484.5244558999998,484.5244558999998,484.5244558999998,484.5244558999998,484.5244558999998,484.5244558999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
neutral,negative,2,k,k,0,0,0,0,0,0,0,0,,,,,,,,,4,13,85,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,negative,neutral,484.5244558999998,484.5244558999998,484.5244558999998,484.5244558999998,485.50914639999974,485.53926869999987,k,l,0,1.3431354999997893,486.84377189999987,486.84377189999987,486.84377189999987,487.91288799999984,487.91288799999984,487.91288799999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
negative,negative,1,j,l,0,0,0,0,0,0,0,0,,,,,,,,,4,14,86,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,negative,negative,487.91288799999984,487.91288799999984,487.91288799999984,487.91288799999984,488.8997513999998,488.93092509999997,j,j,1,1.1195042000003923,490.0262312,490.0262312,490.0262312,490.0262312,490.0262312,490.0262312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
positive,negative,2,l,j,0,0,0,0,0,0,0,0,,,,,,,,,4,15,87,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,negative,positive,490.0262312,490.0262312,490.0262312,490.0262312,491.00165979999974,491.06549719999975,l,l,1,1.3119626000002427,492.34057889999985,492.34057889999985,492.34057889999985,492.34057889999985,492.34057889999985,492.34057889999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
neutral,neutral,2,k,k,0,0,0,0,0,0,0,0,,,,,,,,,4,16,88,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,neutral,492.34057889999985,492.34057889999985,492.34057889999985,492.34057889999985,493.3226282999999,493.3828567999999,k,k,1,2.114089000000149,495.4353006000001,495.4353006000001,495.4353006000001,496.4762603999998,496.4762603999998,496.4762603999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
negative,positive,2,j,l,0,0,0,0,0,0,0,0,,,,,,,,,4,17,89,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,negative,496.4762603999998,496.4762603999998,496.4762603999998,496.4762603999998,497.46016299999974,497.4907823999997,j,j,1,1.347344400000111,498.82890899999984,498.82890899999984,498.82890899999984,498.82890899999984,498.82890899999984,498.82890899999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
negative,negative,1,j,l,0,0,0,0,0,0,0,0,,,,,,,,,5,0,90,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,negative,negative,498.82890899999984,498.82890899999984,498.82890899999984,498.82890899999984,499.8036871999998,499.86596009999994,j,j,1,2.273095100000319,502.07858940000006,502.07858940000006,502.07858940000006,503.1253136999999,503.1253136999999,503.1253136999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
negative,positive,2,j,l,0,0,0,0,0,0,0,0,,,,,,,,,5,1,91,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,positive,negative,503.1253136999999,503.1253136999999,503.1253136999999,503.1253136999999,504.09737529999984,504.16238380000004,j,j,1,1.378363299999819,505.5070308999998,505.5070308999998,505.5070308999998,505.5070308999998,505.5070308999998,505.5070308999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
neutral,neutral,1,k,k,0,0,0,0,0,0,0,0,,,,,,,,,5,2,92,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,neutral,505.5070308999998,505.5070308999998,505.5070308999998,505.5070308999998,506.50421589999996,506.5344599,k,k,1,1.967208799999753,508.4556137999998,508.4556137999998,508.4556137999998,509.4821317000001,509.4821317000001,509.4821317000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
negative,positive,1,j,l,0,0,0,0,0,0,0,0,,,,,,,,,5,3,93,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,positive,negative,509.4821317000001,509.4821317000001,509.4821317000001,509.4821317000001,510.4583907000001,510.52154199999995,j,j,1,1.4604946999997992,511.94848999999977,511.94848999999977,511.94848999999977,511.94848999999977,511.94848999999977,511.94848999999977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
neutral,positive,1,k,k,0,0,0,0,0,0,0,0,,,,,,,,,5,4,94,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,positive,neutral,511.94848999999977,511.94848999999977,511.94848999999977,511.94848999999977,512.9431789,512.9742065,k,k,1,2.604280800000197,515.5325309999998,515.5325309999998,515.5325309999998,516.5731532999998,516.5731532999998,516.5731532999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
neutral,negative,1,k,k,0,0,0,0,0,0,0,0,,,,,,,,,5,5,95,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,negative,neutral,516.5731532999998,516.5731532999998,516.5731532999998,516.5731532999998,517.5557048000001,517.5877921000001,k,k,1,1.1996997000001102,518.7852096000001,518.7852096000001,518.7852096000001,518.7852096000001,518.7852096000001,518.7852096000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
negative,neutral,1,j,l,0,0,0,0,0,0,0,0,,,,,,,,,5,6,96,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,neutral,negative,518.7852096000001,518.7852096000001,518.7852096000001,518.7852096000001,519.759086,519.8241798999998,j,k,0,2.6964881999997488,522.4552835,522.4552835,522.4552835,523.4827200999998,523.4827200999998,523.4827200999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
positive,negative,1,l,j,0,0,0,0,0,0,0,0,,,,,,,,,5,7,97,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,negative,positive,523.4827200999998,523.4827200999998,523.4827200999998,523.4827200999998,524.4834511999998,524.5147990999999,l,l,1,1.175206700000217,525.6667262000001,525.6667262000001,525.6667262000001,525.6667262000001,525.6667262000001,525.6667262000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
neutral,negative,2,k,k,0,0,0,0,0,0,0,0,,,,,,,,,5,8,98,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,neutral,525.6667262000001,525.6667262000001,525.6667262000001,525.6667262000001,526.6514480000001,526.6818718,k,k,1,1.279863700000078,527.9521577999999,527.9521577999999,527.9521577999999,527.9521577999999,527.9521577999999,527.9521577999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
negative,neutral,2,j,l,0,0,0,0,0,0,0,0,,,,,,,,,5,9,99,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,neutral,negative,527.9521577999999,527.9521577999999,527.9521577999999,527.9521577999999,528.9387026999998,528.9683009999999,j,l,0,3.4116981000001942,532.3402821,532.3402821,532.3402821,533.3707758,533.3707758,533.3707758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
negative,negative,2,j,l,0,0,0,0,0,0,0,0,,,,,,,,,5,10,100,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,negative,533.3707758,533.3707758,533.3707758,533.3707758,534.3562281999998,534.3874265999998,j,j,1,1.5169791000002988,535.865519,535.865519,535.865519,536.9114486999997,536.9114486999997,536.9114486999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
positive,neutral,1,l,j,0,0,0,0,0,0,0,0,,,,,,,,,5,11,101,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,neutral,positive,536.9114486999997,536.9114486999997,536.9114486999997,536.9114486999997,537.8944428,537.9241443999999,l,l,1,1.502568699999756,539.3900405999998,539.3900405999998,539.3900405999998,540.4235629,540.4235629,540.4235629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
positive,negative,2,l,j,0,0,0,0,0,0,0,0,,,,,,,,,5,12,102,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,positive,540.4235629,540.4235629,540.4235629,540.4235629,541.4098476999998,541.4413340000001,l,l,1,1.3187723000000915,542.7554787999998,542.7554787999998,542.7554787999998,542.7554787999998,542.7554787999998,542.7554787999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
neutral,positive,2,k,k,0,0,0,0,0,0,0,0,,,,,,,,,5,13,103,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,neutral,542.7554787999998,542.7554787999998,542.7554787999998,542.7554787999998,543.7320325999999,543.7968151999999,k,k,1,1.2009649999999965,544.9598689,544.9598689,544.9598689,544.9598689,544.9598689,544.9598689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
positive,positive,1,l,j,0,0,0,0,0,0,0,0,,,,,,,,,5,14,104,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,positive,544.9598689,544.9598689,544.9598689,544.9598689,545.9321086,546.0032716000001,l,l,1,4.16405420000001,550.1034125000001,550.1034125000001,550.1034125000001,551.1293860000001,551.1293860000001,551.1293860000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
positive,positive,2,l,j,0,0,0,0,0,0,0,0,,,,,,,,,5,15,105,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,positive,551.1293860000001,551.1293860000001,551.1293860000001,551.1293860000001,552.1120565000001,552.1440856999998,l,l,1,1.0460022000002027,553.1871735,553.1871735,553.1871735,553.1871735,553.1871735,553.1871735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
positive,neutral,2,l,j,0,0,0,0,0,0,0,0,,,,,,,,,5,16,106,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,positive,553.1871735,553.1871735,553.1871735,553.1871735,554.1571582000001,554.2192452999998,l,l,1,1.1879102999996576,555.3831356999999,555.3831356999999,555.3831356999999,555.3831356999999,555.3831356999999,555.3831356999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
neutral,neutral,2,k,k,0,0,0,0,0,0,0,0,,,,,,,,,5,17,107,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,neutral,555.3831356999999,555.3831356999999,555.3831356999999,555.3831356999999,556.3515938,556.4138662,k,k,1,1.9448714999998629,558.2977867,558.2977867,558.2977867,559.3560674,559.3560674,559.3560674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
positive,positive,2,l,j,0,0,0,0,0,0,0,0,,,,,,,,,6,0,108,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,positive,559.3560674,559.3560674,559.3560674,559.3560674,560.3253610000002,560.3872370999998,l,l,1,2.836036200000308,563.1620680000001,563.1620680000001,563.1620680000001,564.2071510000001,564.2071510000001,564.2071510000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
positive,neutral,2,l,j,0,0,0,0,0,0,0,0,,,,,,,,,6,1,109,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,positive,564.2071510000001,564.2071510000001,564.2071510000001,564.2071510000001,565.181094,565.2438216999999,l,l,1,1.5646150000002308,566.7528361999998,566.7528361999998,566.7528361999998,567.7820932999998,567.7820932999998,567.7820932999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
neutral,positive,1,k,k,0,0,0,0,0,0,0,0,,,,,,,,,6,2,110,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,neutral,567.7820932999998,567.7820932999998,567.7820932999998,567.7820932999998,568.7574672000001,568.8189868999998,k,,0,1.2590212000000065,570.0288648999999,570.0288648999999,570.0288648999999,571.0666035999998,571.0666035999998,571.0666035999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
negative,positive,2,j,l,0,0,0,0,0,0,0,0,,,,,,,,,6,3,111,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,negative,571.0666035999998,571.0666035999998,571.0666035999998,571.0666035999998,572.0507883,572.0811306,j,j,1,2.0407435000001897,574.0897240999998,574.0897240999998,574.0897240999998,575.1177972999999,575.1177972999999,575.1177972999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
neutral,neutral,2,k,k,0,0,0,0,0,0,0,0,,,,,,,,,6,4,112,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,neutral,575.1177972999999,575.1177972999999,575.1177972999999,575.1177972999999,576.1067082999998,576.1383084999998,k,k,1,2.5414456000003156,578.6369765,578.6369765,578.6369765,579.6796264,579.6796264,579.6796264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
positive,positive,1,l,j,0,0,0,0,0,0,0,0,,,,,,,,,6,5,113,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,positive,579.6796264,579.6796264,579.6796264,579.6796264,580.6774074,580.7092205999998,l,l,1,1.5292908000001262,582.1882114,582.1882114,582.1882114,583.2322899000001,583.2322899000001,583.2322899000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
neutral,negative,2,k,k,0,0,0,0,0,0,0,0,,,,,,,,,6,6,114,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,neutral,583.2322899000001,583.2322899000001,583.2322899000001,583.2322899000001,584.2082654999999,584.2733100999999,k,k,1,1.9295845000001464,586.1375585000001,586.1375585000001,586.1375585000001,587.1864894,587.1864894,587.1864894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
negative,positive,1,j,l,0,0,0,0,0,0,0,0,,,,,,,,,6,7,115,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,negative,587.1864894,587.1864894,587.1864894,587.1864894,588.1879070999998,588.2183921999999,j,j,1,3.911634700000377,592.0743208999997,592.0743208999997,592.0743208999997,593.1081697999998,593.1081697999998,593.1081697999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
neutral,neutral,1,k,k,0,0,0,0,0,0,0,0,,,,,,,,,6,8,116,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,neutral,593.1081697999998,593.1081697999998,593.1081697999998,593.1081697999998,594.0889853999997,594.1502084999997,k,k,1,2.7931640000001607,596.8854532,596.8854532,596.8854532,597.9364584999998,597.9364584999998,597.9364584999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
neutral,negative,1,k,k,0,0,0,0,0,0,0,0,,,,,,,,,6,9,117,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,negative,neutral,597.9364584999998,597.9364584999998,597.9364584999998,597.9364584999998,598.9257708,598.9564052999999,k,k,1,1.3809864999998354,600.3195655999998,600.3195655999998,600.3195655999998,600.3195655999998,600.3195655999998,600.3195655999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
positive,negative,2,l,j,0,0,0,0,0,0,0,0,,,,,,,,,6,10,118,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,positive,600.3195655999998,600.3195655999998,600.3195655999998,600.3195655999998,601.3097377999998,601.3400588999998,l,l,1,3.3390407000001687,604.6351344,604.6351344,604.6351344,605.6905260999997,605.6905260999997,605.6905260999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
neutral,positive,2,k,k,0,0,0,0,0,0,0,0,,,,,,,,,6,11,119,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,neutral,605.6905260999997,605.6905260999997,605.6905260999997,605.6905260999997,606.6930431000001,606.7291817,k,k,1,1.4339381999998295,608.1292746999998,608.1292746999998,608.1292746999998,608.1292746999998,608.1292746999998,608.1292746999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
